GPU-8d83c447-b968-da08-ffb7-b7cd16911732, 3649363, 30114 MiB
GPU-8d83c447-b968-da08-ffb7-b7cd16911732, 3651689, 24108 MiB
GPU-8d83c447-b968-da08-ffb7-b7cd16911732, 3705531, 2718 MiB
GPU-8d83c447-b968-da08-ffb7-b7cd16911732, 3705528, 844 MiB
GPU-8d83c447-b968-da08-ffb7-b7cd16911732, 3705529, 12240 MiB
GPU-8d83c447-b968-da08-ffb7-b7cd16911732, 3705530, 2930 MiB
GPU-8d83c447-b968-da08-ffb7-b7cd16911732, 3800748, 2162 MiB
GPU-8d83c447-b968-da08-ffb7-b7cd16911732, 2530720, 522 MiB
GPU-626df91e-5666-4350-29f1-8b1980401238, 2530720, 1158 MiB
GPU-791a8593-bc9a-cdac-a3a4-2787c9fa1526, 2530720, 522 MiB
